university,amount,canton,latitude,longitude
Forschungsinstitut für biologischen Landbau,7442410.0,Aargau,50.1198103,8.639161699999999
Facoltà di Teologia di Lugano,8000.0,Ticino,46.0107307,8.958131600000002
Schweiz. Hochschule für Logopädie Rorschach,429600.0,St. Gallen,47.472612700000006,9.4948635
Université de Fribourg,457526170.2500001,Fribourg,46.806210899999996,7.1517536999999995
Universität St. Gallen,69194954.44999999,St. Gallen,47.4316114,9.374611
Eidg. Hochschulinstitut für Berufsbildung,2086572.0,Bern,47.001482,7.4507281
HES de Suisse occidentale,34162965.46,Jura,47.3626544,7.3512704
Fachhochschule Ostschweiz,4437056.0,St. Gallen,47.42456259999999,9.3748965
Pädagogische Hochschule Zürich,3298346.0,Zürich,47.377638899999994,8.534637199999999
SUP della Svizzera italiana,24040082.15,Ticino,46.0107307,8.958131600000002
Friedrich Miescher Institute,40229142.61,Basel-Stadt,47.5675946,7.6035745000000015
Robert Walser-Stiftung Bern,569579.0,Bern,46.947916299999996,7.4450819
AO Research Institute,3435621.0,Graubünden,46.7773949,9.8140901
Berner Fachhochschule,31028695.0,Bern,47.057422499999994,7.621387700000001
Pädagogische Hochschule Thurgau,1526446.0,Thurgau,47.6475771,9.180683300000002
Universität Luzern,39981678.31,Luzern,47.0495601,8.312332099999999
Franklin University Switzerland,65956.0,Ticino,45.9975884,8.938819500000001
Eidg. Anstalt für Wasserversorgung,74619222.37,Zürich,47.404830100000005,8.609666599999999
Pädagogische Hochschule Zug,495715.0,Zug,47.162733,8.517845800000002
Schweizer Paraplegiker Forschung,1944211.0,Luzern,47.13998429999999,8.131035899999999
Ente Ospedaliero Cantonale,5067172.0,Ticino,46.1969175,9.0266235
Università della Svizzera italiana,84970554.75,Ticino,46.0107307,8.958131600000002
Kantonsspital St. Gallen,15034105.0,St. Gallen,47.4297546,9.3890187
Instituto Ricerche Solari Locarno,951238.0,Ticino,46.176857700000006,8.789100699999999
Université de Lausanne,1183290756.68,Vaud,46.5195985,6.568491900000001
Forschungsinstitut für Opthalmologie,3478469.0,Valais,48.523927,9.053483300000002
Haute école pédagogique du canton de Vaud,1430686.0,Vaud,46.5129986,6.6206841
EPF Lausanne,1175315913.92,Vaud,46.520805700000004,6.5839813
Paul Scherrer Institut,115268968.87,Aargau,47.5367533,8.224490300000001
Inst. universit. romand de Santé au Travail,6882729.85,Vaud,46.54298670000001,6.661552799999999
Universität Basel,1352251464.37,Basel-Stadt,47.55861289999999,7.5827925999999986
Fachhochschule Kalaidos,1090280.0,Zürich,47.415454,8.5438251
Fernfachhochschule Schweiz (Mitglied SUPSI),12000.0,Valais,46.317941600000005,7.983177799999999
Pädagogische Hochschule Luzern,1979281.0,Luzern,47.0510453,8.3023319
Pädagogische Hochschule Graubünden,614613.0,Graubünden,46.8669842,9.5367209
ETH Zürich,1635596618.2500002,Zürich,47.3765359,8.548092800000001
Inst. Suisse de Spéléologie et Karstologie,624819.0,Neuchâtel,47.09975319999999,6.8231601999999985
Pädagogische Hochschule Nordwestschweiz,3476142.0,Solothurn,47.3474487,7.908262300000001
Institut für Kulturforschung Graubünden,1219681.0,Graubünden,46.851122,9.5338157
Hochschule Luzern,10768116.36,Luzern,47.047875399999995,8.3141406
Inst. de Hautes Etudes Internat. et du Dév,38864231.6,Geneve,46.2207869,6.143574099999999
Schweiz. Institut für Kunstwissenschaft,4649550.0,Zürich,47.362291600000006,8.5551808
Pädagogische Hochschule Schaffhausen,176691.0,Schaffhausen,47.7073984,8.6452862
Allergie- und Asthmaforschung,19169965.0,Graubünden,46.79543650000001,9.8198262
Interkant. Hochschule für Heilpädagogik ZH,2839872.0,Zürich,47.4032152,8.547118600000001
Universität Bern,1519373034.69,Bern,46.9501562,7.4369904999999985
Pädagogische Hochschule Wallis,425498.0,Valais,46.2155888,7.005483799999999
Université de Genève,1838237308.5,Geneva,46.2043907,6.143157700000001
Institut Universitaire Kurt Bösch,1977340.0,Valais,46.23002329999999,7.3986557999999985
Universität Zürich,1826842675.0000005,Zürich,47.3745947,8.5488838
Biotechnologie Institut Thurgau,2492535.0,Thurgau,47.648346999999994,9.1610667
Pädagogische Hochschule Schwyz,936551.0,Schwyz,47.0450543,8.5532354
Centre de rech. sur l'environnement alpin,1567678.0,Valais,46.228558899999996,7.367433499999999
Pädagogische Hochschule St. Gallen,2098387.0,St. Gallen,47.4303641,9.3824544
Idiap Research Institute,22183105.2,Valais,46.10936299999999,7.084763400000001
Haute école pédagogique fribourgeoise,1547498.0,Fribourg,46.8111769,7.159208400000001
Pädagogische Hochschule Bern,1990389.6,Bern,46.9534685,7.4226943
Université de Neuchâtel,383204582.3,Neuchâtel,47.0150879,6.8501616
Zürcher Fachhochschule (ohne PH),44843453.12,Zürich,47.377638899999994,8.534637199999999
Fachhochschule Nordwestschweiz (ohne PH),42771914.12,Solothurn,47.27458370000001,8.159806
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",48360389.63,Zürich,47.3605576,8.454612800000001
Haute école pédagogique,627380.0,Vaud,46.5128571,6.619405
Swiss Institute of Bioinformatics,11583219.0,Vaud,46.520805700000004,6.5839813
Eidg. Material und Prüfungsanstalt,58574515.92,Zürich,47.4022425,8.6098456
Schweizer Kompetenzzentrum Sozialwissensch.,34735816.0,Vaud,46.526508,6.577409299999999
Physikal.-Meteorolog. Observatorium Davos,12098436.0,Graubünden,46.813316,9.844422199999999
Forschungskommission,100000.0,Bern,46.9470799,7.4344472999999995
Staatsunabh. Theologische Hochschule Basel,17300.0,Basel-Stadt,47.5848273,7.6499111
Swiss Center for Electronics and Microtech,18068246.0,Neuchâtel,46.9975655,6.9474902
